"filename", "language", "HTML", "TypeScript", "TypeScript React", "Sass", "Markdown", "Rust", "JSON", "JavaScript", "YAML", "SVG", "comment", "blank", "total"
"c:\Users\Octova\Desktop\archive\index.html", "HTML", 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 14
"c:\Users\Octova\Desktop\archive\pnpm-lock.yaml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 992, 0, 0, 140, 1132
"c:\Users\Octova\Desktop\archive\publish-release.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 51, 0, 0, 6, 24, 81
"c:\Users\Octova\Desktop\archive\releases\version_report.json", "JSON", 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 10
"c:\Users\Octova\Desktop\archive\sketch.svg", "SVG", 0, 0, 0, 0, 0, 0, 0, 0, 0, 15165, 1, 2, 15168
"c:\Users\Octova\Desktop\archive\src-tauri\build.rs", "Rust", 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 1, 4
"c:\Users\Octova\Desktop\archive\src-tauri\src\api\expedient_hooks.rs", "Rust", 0, 0, 0, 0, 0, 153, 0, 0, 0, 0, 0, 19, 172
"c:\Users\Octova\Desktop\archive\src-tauri\src\api\expedient_modifyer.rs", "Rust", 0, 0, 0, 0, 0, 54, 0, 0, 0, 0, 0, 7, 61
"c:\Users\Octova\Desktop\archive\src-tauri\src\api\mod.rs", "Rust", 0, 0, 0, 0, 0, 68, 0, 0, 0, 0, 0, 10, 78
"c:\Users\Octova\Desktop\archive\src-tauri\src\chunked_database\chunk.rs", "Rust", 0, 0, 0, 0, 0, 146, 0, 0, 0, 0, 1, 20, 167
"c:\Users\Octova\Desktop\archive\src-tauri\src\chunked_database\mod.rs", "Rust", 0, 0, 0, 0, 0, 172, 0, 0, 0, 0, 8, 28, 208
"c:\Users\Octova\Desktop\archive\src-tauri\src\collections\date_map.rs", "Rust", 0, 0, 0, 0, 0, 34, 0, 0, 0, 0, 0, 8, 42
"c:\Users\Octova\Desktop\archive\src-tauri\src\collections\id_map\item.rs", "Rust", 0, 0, 0, 0, 0, 56, 0, 0, 0, 0, 0, 7, 63
"c:\Users\Octova\Desktop\archive\src-tauri\src\collections\id_map\mod.rs", "Rust", 0, 0, 0, 0, 0, 351, 0, 0, 0, 0, 0, 77, 428
"c:\Users\Octova\Desktop\archive\src-tauri\src\collections\id_map\serializer.rs", "Rust", 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 3, 20
"c:\Users\Octova\Desktop\archive\src-tauri\src\collections\mod.rs", "Rust", 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 1, 5
"c:\Users\Octova\Desktop\archive\src-tauri\src\database\file\datamodel.rs", "Rust", 0, 0, 0, 0, 0, 128, 0, 0, 0, 0, 10, 11, 149
"c:\Users\Octova\Desktop\archive\src-tauri\src\database\file\lock.rs", "Rust", 0, 0, 0, 0, 0, 61, 0, 0, 0, 0, 0, 8, 69
"c:\Users\Octova\Desktop\archive\src-tauri\src\database\file\mod.rs", "Rust", 0, 0, 0, 0, 0, 174, 0, 0, 0, 0, 22, 55, 251
"c:\Users\Octova\Desktop\archive\src-tauri\src\database\file\serializer.rs", "Rust", 0, 0, 0, 0, 0, 75, 0, 0, 0, 0, 4, 19, 98
"c:\Users\Octova\Desktop\archive\src-tauri\src\database\mod.rs", "Rust", 0, 0, 0, 0, 0, 317, 0, 0, 0, 0, 33, 67, 417
"c:\Users\Octova\Desktop\archive\src-tauri\src\database\time.rs", "Rust", 0, 0, 0, 0, 0, 158, 0, 0, 0, 0, 0, 29, 187
"c:\Users\Octova\Desktop\archive\src-tauri\src\error.rs", "Rust", 0, 0, 0, 0, 0, 39, 0, 0, 0, 0, 0, 7, 46
"c:\Users\Octova\Desktop\archive\src-tauri\src\expedient_database\expedient\mod.rs", "Rust", 0, 0, 0, 0, 0, 133, 0, 0, 0, 0, 0, 13, 146
"c:\Users\Octova\Desktop\archive\src-tauri\src\expedient_database\expedient\similarity.rs", "Rust", 0, 0, 0, 0, 0, 294, 0, 0, 0, 0, 7, 18, 319
"c:\Users\Octova\Desktop\archive\src-tauri\src\expedient_database\filter.rs", "Rust", 0, 0, 0, 0, 0, 73, 0, 0, 0, 0, 8, 13, 94
"c:\Users\Octova\Desktop\archive\src-tauri\src\expedient_database\hooks.rs", "Rust", 0, 0, 0, 0, 0, 508, 0, 0, 0, 0, 6, 83, 597
"c:\Users\Octova\Desktop\archive\src-tauri\src\expedient_database\mod.rs", "Rust", 0, 0, 0, 0, 0, 379, 0, 0, 0, 0, 5, 51, 435
"c:\Users\Octova\Desktop\archive\src-tauri\src\expedient_database\restore_data_from_arxivador.rs", "Rust", 0, 0, 0, 0, 0, 160, 0, 0, 0, 0, 3, 21, 184
"c:\Users\Octova\Desktop\archive\src-tauri\src\main.rs", "Rust", 0, 0, 0, 0, 0, 53, 0, 0, 0, 0, 3, 6, 62
"c:\Users\Octova\Desktop\archive\src-tauri\src\mean\mean.rs", "Rust", 0, 0, 0, 0, 0, 76, 0, 0, 0, 0, 0, 13, 89
"c:\Users\Octova\Desktop\archive\src-tauri\src\mean\mod.rs", "Rust", 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 2, 6
"c:\Users\Octova\Desktop\archive\src-tauri\src\mean\weighted_mean.rs", "Rust", 0, 0, 0, 0, 0, 55, 0, 0, 0, 0, 0, 11, 66
"c:\Users\Octova\Desktop\archive\src-tauri\src\observable\async_callback.rs", "Rust", 0, 0, 0, 0, 0, 76, 0, 0, 0, 0, 0, 12, 88
"c:\Users\Octova\Desktop\archive\src-tauri\src\observable\async_observable.rs", "Rust", 0, 0, 0, 0, 0, 43, 0, 0, 0, 0, 0, 8, 51
"c:\Users\Octova\Desktop\archive\src-tauri\src\observable\callback.rs", "Rust", 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 4, 25
"c:\Users\Octova\Desktop\archive\src-tauri\src\observable\mod.rs", "Rust", 0, 0, 0, 0, 0, 109, 0, 0, 0, 0, 2, 22, 133
"c:\Users\Octova\Desktop\archive\src-tauri\src\observable\thread.rs", "Rust", 0, 0, 0, 0, 0, 71, 0, 0, 0, 0, 4, 9, 84
"c:\Users\Octova\Desktop\archive\src-tauri\src\test_utils\mod.rs", "Rust", 0, 0, 0, 0, 0, 90, 0, 0, 0, 0, 0, 12, 102
"c:\Users\Octova\Desktop\archive\src-tauri\tauri.conf.json", "JSON", 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 62, 0, 80
"c:\Users\Octova\Desktop\archive\src\atoms\Button\Button.module.sass", "Sass", 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 4, 22
"c:\Users\Octova\Desktop\archive\src\atoms\Button\index.tsx", "TypeScript React", 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 3, 18
"c:\Users\Octova\Desktop\archive\src\atoms\Checkbox\StaticCheckbox.module.sass", "Sass", 0, 0, 0, 37, 0, 0, 0, 0, 0, 0, 0, 9, 46
"c:\Users\Octova\Desktop\archive\src\atoms\Checkbox\StaticCheckbox.tsx", "TypeScript React", 0, 0, 46, 0, 0, 0, 0, 0, 0, 0, 0, 8, 54
"c:\Users\Octova\Desktop\archive\src\atoms\Checkbox\index.tsx", "TypeScript React", 0, 0, 79, 0, 0, 0, 0, 0, 0, 0, 5, 10, 94
"c:\Users\Octova\Desktop\archive\src\atoms\ContextMenu\ContextMenu.module.sass", "Sass", 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 6, 29
"c:\Users\Octova\Desktop\archive\src\atoms\ContextMenu\index.tsx", "TypeScript React", 0, 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 8, 69
"c:\Users\Octova\Desktop\archive\src\atoms\FadeoutShow\FadeoutShow.module.sass", "Sass", 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 3, 10
"c:\Users\Octova\Desktop\archive\src\atoms\FadeoutShow\index.tsx", "TypeScript React", 0, 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 5, 34
"c:\Users\Octova\Desktop\archive\src\atoms\IconButton\IconButton.module.sass", "Sass", 0, 0, 0, 37, 0, 0, 0, 0, 0, 0, 0, 11, 48
"c:\Users\Octova\Desktop\archive\src\atoms\IconButton\index.tsx", "TypeScript React", 0, 0, 36, 0, 0, 0, 0, 0, 0, 0, 0, 11, 47
"c:\Users\Octova\Desktop\archive\src\atoms\InputTextArea\InputTextArea.module.sass", "Sass", 0, 0, 0, 48, 0, 0, 0, 0, 0, 0, 0, 13, 61
"c:\Users\Octova\Desktop\archive\src\atoms\InputTextArea\index.tsx", "TypeScript React", 0, 0, 179, 0, 0, 0, 0, 0, 0, 0, 8, 23, 210
"c:\Users\Octova\Desktop\archive\src\atoms\InputText\InputText.module.sass", "Sass", 0, 0, 0, 57, 0, 0, 0, 0, 0, 0, 0, 12, 69
"c:\Users\Octova\Desktop\archive\src\atoms\InputText\index.tsx", "TypeScript React", 0, 0, 140, 0, 0, 0, 0, 0, 0, 0, 3, 16, 159
"c:\Users\Octova\Desktop\archive\src\atoms\SelectionButtons\SelectionButtons.module.sass", "Sass", 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 4, 25
"c:\Users\Octova\Desktop\archive\src\atoms\SelectionButtons\index.tsx", "TypeScript React", 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 4, 26
"c:\Users\Octova\Desktop\archive\src\database\databaseState.ts", "TypeScript", 0, 102, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 115
"c:\Users\Octova\Desktop\archive\src\database\date.ts", "TypeScript", 0, 46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 55
"c:\Users\Octova\Desktop\archive\src\database\expedientHook.ts", "TypeScript", 0, 76, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 88
"c:\Users\Octova\Desktop\archive\src\database\expedientState.ts", "TypeScript", 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 26
"c:\Users\Octova\Desktop\archive\src\database\index.ts", "TypeScript", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
"c:\Users\Octova\Desktop\archive\src\database\realTimeEdit.ts", "TypeScript", 0, 55, 0, 0, 0, 0, 0, 0, 0, 0, 1, 11, 67
"c:\Users\Octova\Desktop\archive\src\database\types.ts", "TypeScript", 0, 63, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 76
"c:\Users\Octova\Desktop\archive\src\database\vin\verify.ts", "TypeScript", 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4
"c:\Users\Octova\Desktop\archive\src\database\vin\wmi.ts", "TypeScript", 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 14
"c:\Users\Octova\Desktop\archive\src\globalStyle\index.sass", "Sass", 0, 0, 0, 41, 0, 0, 0, 0, 0, 0, 0, 12, 53
"c:\Users\Octova\Desktop\archive\src\globalStyle\layout.sass", "Sass", 0, 0, 0, 59, 0, 0, 0, 0, 0, 0, 0, 12, 71
"c:\Users\Octova\Desktop\archive\src\globalStyle\theme.sass", "Sass", 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 4, 17
"c:\Users\Octova\Desktop\archive\src\index.tsx", "TypeScript React", 0, 0, 40, 0, 0, 0, 0, 0, 0, 0, 21, 8, 69
"c:\Users\Octova\Desktop\archive\src\pages\ErrorPanel\ErrorPanel.module.sass", "Sass", 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 3, 21
"c:\Users\Octova\Desktop\archive\src\pages\ErrorPanel\index.tsx", "TypeScript React", 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 1, 19
"c:\Users\Octova\Desktop\archive\src\pages\ExpedientEditor\ExpedientEditor.module.sass", "Sass", 0, 0, 0, 43, 0, 0, 0, 0, 0, 0, 0, 11, 54
"c:\Users\Octova\Desktop\archive\src\pages\ExpedientEditor\index.tsx", "TypeScript React", 0, 0, 157, 0, 0, 0, 0, 0, 0, 0, 10, 21, 188
"c:\Users\Octova\Desktop\archive\src\pages\FullList\FullList.module.sass", "Sass", 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 6, 25
"c:\Users\Octova\Desktop\archive\src\pages\FullList\index.tsx", "TypeScript React", 0, 0, 70, 0, 0, 0, 0, 0, 0, 0, 0, 6, 76
"c:\Users\Octova\Desktop\archive\src\pages\OpenList\OpenList.module.sass", "Sass", 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 6, 26
"c:\Users\Octova\Desktop\archive\src\pages\OpenList\index.tsx", "TypeScript React", 0, 0, 66, 0, 0, 0, 0, 0, 0, 0, 1, 8, 75
"c:\Users\Octova\Desktop\archive\src\pages\PendingList\index.tsx", "TypeScript React", 0, 0, 39, 0, 0, 0, 0, 0, 0, 0, 1, 6, 46
"c:\Users\Octova\Desktop\archive\src\pages\UpdatePanel\UpdatePanel.module.sass", "Sass", 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 4, 23
"c:\Users\Octova\Desktop\archive\src\pages\UpdatePanel\index.tsx", "TypeScript React", 0, 0, 32, 0, 0, 0, 0, 0, 0, 0, 0, 3, 35
"c:\Users\Octova\Desktop\archive\src\templates\AwaitDateSelectorPanel\AwaitDateSelectorPanel.module.sass", "Sass", 0, 0, 0, 32, 0, 0, 0, 0, 0, 0, 0, 6, 38
"c:\Users\Octova\Desktop\archive\src\templates\AwaitDateSelectorPanel\index.tsx", "TypeScript React", 0, 0, 47, 0, 0, 0, 0, 0, 0, 0, 0, 8, 55
"c:\Users\Octova\Desktop\archive\src\templates\ConfirmationPanel\ConfirmationPanel.module.sass", "Sass", 0, 0, 0, 31, 0, 0, 0, 0, 0, 0, 1, 5, 37
"c:\Users\Octova\Desktop\archive\src\templates\ConfirmationPanel\index.tsx", "TypeScript React", 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 5, 35
"c:\Users\Octova\Desktop\archive\src\templates\DateEditor\DateEditor.module.sass", "Sass", 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 7, 22
"c:\Users\Octova\Desktop\archive\src\templates\DateEditor\index.tsx", "TypeScript React", 0, 0, 41, 0, 0, 0, 0, 0, 0, 0, 0, 2, 43
"c:\Users\Octova\Desktop\archive\src\templates\ExpedientFolderIcons\ExpedientFolderIcons.module.sass", "Sass", 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 3, 11
"c:\Users\Octova\Desktop\archive\src\templates\ExpedientFolderIcons\index.tsx", "TypeScript React", 0, 0, 41, 0, 0, 0, 0, 0, 0, 0, 0, 11, 52
"c:\Users\Octova\Desktop\archive\src\templates\OrderEditor\OrderEditor.module.sass", "Sass", 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 4, 22
"c:\Users\Octova\Desktop\archive\src\templates\OrderEditor\index.tsx", "TypeScript React", 0, 0, 54, 0, 0, 0, 0, 0, 0, 0, 0, 6, 60
"c:\Users\Octova\Desktop\archive\src\templates\OrderList\OrderList.module.sass", "Sass", 0, 0, 0, 33, 0, 0, 0, 0, 0, 0, 0, 7, 40
"c:\Users\Octova\Desktop\archive\src\templates\OrderList\index.tsx", "TypeScript React", 0, 0, 91, 0, 0, 0, 0, 0, 0, 0, 0, 21, 112
"c:\Users\Octova\Desktop\archive\src\templates\OrderList\row.tsx", "TypeScript React", 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 4, 27
"c:\Users\Octova\Desktop\archive\src\templates\TabSystem\TabSystem.module.sass", "Sass", 0, 0, 0, 49, 0, 0, 0, 0, 0, 0, 0, 9, 58
"c:\Users\Octova\Desktop\archive\src\templates\TabSystem\index.tsx", "TypeScript React", 0, 0, 125, 0, 0, 0, 0, 0, 0, 0, 2, 15, 142
"c:\Users\Octova\Desktop\archive\src\templates\WindowButtons\WindowButtons.module.sass", "Sass", 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 1, 9
"c:\Users\Octova\Desktop\archive\src\templates\WindowButtons\index.tsx", "TypeScript React", 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 1, 11
"c:\Users\Octova\Desktop\archive\src\utils\bindKey.ts", "TypeScript", 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 31
"c:\Users\Octova\Desktop\archive\src\utils\undo.ts", "TypeScript", 0, 102, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 121
"c:\Users\Octova\Desktop\archive\todo features.md", "Markdown", 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 8, 27
"c:\Users\Octova\Desktop\archive\vite.config.ts", "TypeScript", 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 13
"Total", "-", 13, 522, 1491, 674, 19, 4155, 28, 51, 992, 15165, 238, 1320, 24668